2026-06-15 09:59:01.560 -05:00 [INF] === Iniciando Mozo API === {"MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 09:59:06.131 -05:00 [INF] ==> GET / | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-ea9e7f82b4812f2a6dfbd7aeba1da3f4-eb0e16fd0a45880b-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50D:00000001","RequestPath":"/","ConnectionId":"0HNMATQIFG50D","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 09:59:06.732 -05:00 [WRN] <== GET / | Status: 404 | Duración: 605ms | Usuario: Anonymous | TraceId: 00-ea9e7f82b4812f2a6dfbd7aeba1da3f4-eb0e16fd0a45880b-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50D:00000001","RequestPath":"/","ConnectionId":"0HNMATQIFG50D","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 09:59:06.942 -05:00 [INF] ==> GET /favicon.ico | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-02dd7d47e4d3b92a95a5334f4ece043f-740e7e5ebe58c83a-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50D:00000003","RequestPath":"/favicon.ico","ConnectionId":"0HNMATQIFG50D","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 09:59:06.962 -05:00 [WRN] <== GET /favicon.ico | Status: 404 | Duración: 19ms | Usuario: Anonymous | TraceId: 00-02dd7d47e4d3b92a95a5334f4ece043f-740e7e5ebe58c83a-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50D:00000003","RequestPath":"/favicon.ico","ConnectionId":"0HNMATQIFG50D","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:20:50.611 -05:00 [INF] ==> OPTIONS /login/permiso | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-fbd588083eda964b37e7d8204530505c-8d3c0389f4c6995b-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50E:00000001","RequestPath":"/login/permiso","ConnectionId":"0HNMATQIFG50E","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:20:50.624 -05:00 [INF] <== OPTIONS /login/permiso | Status: 204 | Duración: 12ms | Usuario: Anonymous | TraceId: 00-fbd588083eda964b37e7d8204530505c-8d3c0389f4c6995b-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50E:00000001","RequestPath":"/login/permiso","ConnectionId":"0HNMATQIFG50E","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:20:50.635 -05:00 [INF] ==> POST /login/permiso | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-cdcbe8b12f26ce07f9bde6aab4f8269c-a253bc3a6db7d1c0-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50E:00000003","RequestPath":"/login/permiso","ConnectionId":"0HNMATQIFG50E","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:20:52.326 -05:00 [INF] [SECURITY] LOGIN_SUCCESS | Usuario: jabregu | Empresa: 1 | Ingreso: 97 | IP: ::1 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 S {"SourceContext":"Mozo.Api.Login","RequestId":"0HNMATQIFG50E:00000003","RequestPath":"/login/permiso","ConnectionId":"0HNMATQIFG50E","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:20:52.362 -05:00 [INF] <== POST /login/permiso | Status: 200 | Duración: 1727ms | Usuario: Anonymous | TraceId: 00-cdcbe8b12f26ce07f9bde6aab4f8269c-a253bc3a6db7d1c0-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50E:00000003","RequestPath":"/login/permiso","ConnectionId":"0HNMATQIFG50E","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:20:52.370 -05:00 [INF] ==> OPTIONS /login/menu/modulos | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-79f049bd1642349902a4f17ebc7c6e27-f83ef8026b657496-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50E:00000005","RequestPath":"/login/menu/modulos","ConnectionId":"0HNMATQIFG50E","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:20:52.374 -05:00 [INF] <== OPTIONS /login/menu/modulos | Status: 204 | Duración: 4ms | Usuario: Anonymous | TraceId: 00-79f049bd1642349902a4f17ebc7c6e27-f83ef8026b657496-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50E:00000005","RequestPath":"/login/menu/modulos","ConnectionId":"0HNMATQIFG50E","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:20:52.380 -05:00 [INF] ==> GET /login/menu/modulos | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-fb1cff9d69741f7f27a43173858215ad-3ea6a26028550e24-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50E:00000007","RequestPath":"/login/menu/modulos","ConnectionId":"0HNMATQIFG50E","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:20:52.516 -05:00 [INF] <== GET /login/menu/modulos | Status: 200 | Duración: 136ms | Usuario: Anonymous | TraceId: 00-fb1cff9d69741f7f27a43173858215ad-3ea6a26028550e24-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50E:00000007","RequestPath":"/login/menu/modulos","ConnectionId":"0HNMATQIFG50E","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:20:52.523 -05:00 [INF] ==> OPTIONS /maestro/tipo-general/active | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-025120b7c765efe2fc29b9f536131ef0-b81a801971ad5b17-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50E:00000009","RequestPath":"/maestro/tipo-general/active","ConnectionId":"0HNMATQIFG50E","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:20:52.527 -05:00 [INF] <== OPTIONS /maestro/tipo-general/active | Status: 204 | Duración: 3ms | Usuario: Anonymous | TraceId: 00-025120b7c765efe2fc29b9f536131ef0-b81a801971ad5b17-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50E:00000009","RequestPath":"/maestro/tipo-general/active","ConnectionId":"0HNMATQIFG50E","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:20:52.537 -05:00 [INF] ==> GET /maestro/tipo-general/active | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-60a7931b472f2fd6f5e4cf340c0b417b-0a58f54dbc743193-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50E:0000000B","RequestPath":"/maestro/tipo-general/active","ConnectionId":"0HNMATQIFG50E","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:20:52.580 -05:00 [INF] <== GET /maestro/tipo-general/active | Status: 200 | Duración: 42ms | Usuario: Anonymous | TraceId: 00-60a7931b472f2fd6f5e4cf340c0b417b-0a58f54dbc743193-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50E:0000000B","RequestPath":"/maestro/tipo-general/active","ConnectionId":"0HNMATQIFG50E","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
2026-06-15 10:20:55.932 -05:00 [INF] ==> OPTIONS /seguridad/modulo | Usuario: Anonymous | Empresa: N/A | IP: ::1 | TraceId: 00-62e15974e780b5b4196c250ba43dd4df-617a55a853a7fcc4-00 {"SourceContext":"Mozo.ApiSeguridad.Helper.Exceptions.RequestLoggingMiddleware","RequestId":"0HNMATQIFG50E:0000000D","RequestPath":"/seguridad/modulo","ConnectionId":"0HNMATQIFG50E","MachineName":"DNROP0526","EnvironmentName":"Development","Application":"Mozo.Api"}
